dtime,instrument,bid_price,bid_size,bid_orders,ask_price,ask_size,ask_orders,rectime,quote_id,nanos
2024-03-12 12:27:00.000037+00:00,SFRU24,95.240,2286,28,95.245,272,10,2024-03-12 12:27:00.010279+00:00,26943025,37023
2024-03-12 12:27:00.000798+00:00,SFRU24,95.240,2158,27,95.245,272,10,2024-03-12 12:27:00.015296+00:00,26943391,798459
2024-03-12 12:27:00.007363+00:00,SFRU24,95.240,2158,27,95.245,273,10,2024-03-12 12:27:00.015296+00:00,26943501,7363355
2024-03-12 12:27:00.008031+00:00,SFRU24,95.240,2141,27,95.245,273,10,2024-03-12 12:27:00.015296+00:00,26943555,8031887
2024-03-12 12:27:00.022696+00:00,SFRU24,95.240,2143,27,95.245,273,10,2024-03-12 12:27:00.030241+00:00,26943696,22696439
2024-03-12 12:27:00.069921+00:00,SFRU24,95.240,2143,27,95.245,266,10,2024-03-12 12:27:00.075018+00:00,26943872,69921531
2024-03-12 12:27:00.070395+00:00,SFRU24,95.240,2159,27,95.245,266,10,2024-03-12 12:27:00.084967+00:00,26943905,70395251
2024-03-12 12:27:00.100418+00:00,SFRU24,95.240,2159,27,95.245,260,10,2024-03-12 12:27:00.109943+00:00,26944042,100418903
2024-03-12 12:27:00.138807+00:00,SFRU24,95.240,2159,27,95.245,259,10,2024-03-12 12:27:00.145694+00:00,26944169,138807163
2024-03-12 12:27:00.141000+00:00,SFRU24,95.240,2159,27,95.245,259,10,2024-03-12 12:27:00.145694+00:00,26944169,138807163
2024-03-12 12:27:00.142000+00:00,SFRU24,95.240,2159,27,95.245,259,10,2024-03-12 12:27:00.145694+00:00,26944169,138807163
2024-03-12 12:27:00.143000+00:00,SFRU24,95.240,2159,27,95.245,259,10,2024-03-12 12:27:00.145694+00:00,26944169,138807163
2024-03-12 12:27:00.143936+00:00,SFRU24,95.240,2154,27,95.245,259,10,2024-03-12 12:27:00.160646+00:00,26944239,143936885
2024-03-12 12:27:00.143937+00:00,SFRU24,95.240,2147,27,95.245,259,10,2024-03-12 12:27:00.160646+00:00,26944244,143937777
2024-03-12 12:27:00.147901+00:00,SFRU24,95.240,2147,27,95.245,271,10,2024-03-12 12:27:00.160646+00:00,26944270,147901433
2024-03-12 12:27:00.156607+00:00,SFRU24,95.240,2147,27,95.245,274,11,2024-03-12 12:27:00.165658+00:00,26944308,156607901
2024-03-12 12:27:00.183956+00:00,SFRU24,95.240,2148,27,95.245,274,11,2024-03-12 12:27:00.190527+00:00,26944353,183956225
2024-03-12 12:27:00.202898+00:00,SFRU24,95.240,2023,27,95.245,274,11,2024-03-12 12:27:00.210451+00:00,26944387,202898681
2024-03-12 12:27:00.202924+00:00,SFRU24,95.240,1829,26,95.245,274,11,2024-03-12 12:27:00.210451+00:00,26944389,202924737
2024-03-12 12:27:00.202954+00:00,SFRU24,95.240,1776,26,95.245,274,11,2024-03-12 12:27:00.210451+00:00,26944392,202954515
2024-03-12 12:27:00.203190+00:00,SFRU24,95.240,1697,26,95.245,274,11,2024-03-12 12:27:00.210451+00:00,26944431,203190665
2024-03-12 12:27:00.204952+00:00,SFRU24,95.240,1696,26,95.245,274,11,2024-03-12 12:27:00.215438+00:00,26944648,204952841
2024-03-12 12:27:00.205199+00:00,SFRU24,95.240,1696,26,95.245,262,11,2024-03-12 12:27:00.215438+00:00,26944669,205199053
2024-03-12 12:27:00.206690+00:00,SFRU24,95.240,1696,26,95.245,259,11,2024-03-12 12:27:00.215438+00:00,26944718,206690765
2024-03-12 12:27:00.206691+00:00,SFRU24,95.240,1696,26,95.245,258,11,2024-03-12 12:27:00.215438+00:00,26944725,206691407
2024-03-12 12:27:00.206731+00:00,SFRU24,95.240,1696,26,95.245,262,11,2024-03-12 12:27:00.215438+00:00,26944746,206731685
2024-03-12 12:27:00.209310+00:00,SFRU24,95.240,1663,26,95.245,262,11,2024-03-12 12:27:00.215438+00:00,26944810,209310137
2024-03-12 12:27:00.214434+00:00,SFRU24,95.240,1654,26,95.245,262,11,2024-03-12 12:27:00.220385+00:00,26944970,214434093
2024-03-12 12:27:00.217477+00:00,SFRU24,95.240,1640,26,95.245,262,11,2024-03-12 12:27:00.225407+00:00,26945049,217477759
2024-03-12 12:27:00.218688+00:00,SFRU24,95.240,1581,26,95.245,262,11,2024-03-12 12:27:00.225407+00:00,26945100,218688383
2024-03-12 12:27:00.219491+00:00,SFRU24,95.240,1552,25,95.245,262,11,2024-03-12 12:27:00.225407+00:00,26945132,219491525
2024-03-12 12:27:00.219573+00:00,SFRU24,95.240,1544,24,95.245,262,11,2024-03-12 12:27:00.225407+00:00,26945136,219573907
2024-03-12 12:27:00.219678+00:00,SFRU24,95.240,1534,23,95.245,262,11,2024-03-12 12:27:00.225407+00:00,26945140,219678235
2024-03-12 12:27:00.219695+00:00,SFRU24,95.240,1507,23,95.245,262,11,2024-03-12 12:27:00.225407+00:00,26945141,219695247
2024-03-12 12:27:00.220739+00:00,SFRU24,95.240,1503,23,95.245,262,11,2024-03-12 12:27:00.230329+00:00,26945209,220739701
2024-03-12 12:27:00.222761+00:00,SFRU24,95.240,1492,23,95.245,262,11,2024-03-12 12:27:00.230329+00:00,26945338,222761319
2024-03-12 12:27:00.224979+00:00,SFRU24,95.240,1477,23,95.245,262,11,2024-03-12 12:27:00.230329+00:00,26945478,224979997
2024-03-12 12:27:00.225168+00:00,SFRU24,95.240,1475,23,95.245,262,11,2024-03-12 12:27:00.230329+00:00,26945488,225168917
2024-03-12 12:27:00.225247+00:00,SFRU24,95.240,1473,23,95.245,262,11,2024-03-12 12:27:00.230329+00:00,26945493,225247477
2024-03-12 12:27:00.225412+00:00,SFRU24,95.240,1472,23,95.245,262,11,2024-03-12 12:27:00.235348+00:00,26945503,225412535
2024-03-12 12:27:00.225659+00:00,SFRU24,95.240,1470,23,95.245,262,11,2024-03-12 12:27:00.235348+00:00,26945519,225659647
2024-03-12 12:27:00.225771+00:00,SFRU24,95.240,1468,23,95.245,262,11,2024-03-12 12:27:00.235348+00:00,26945525,225771885
2024-03-12 12:27:00.226789+00:00,SFRU24,95.240,1458,23,95.245,262,11,2024-03-12 12:27:00.235348+00:00,26945593,226789403
2024-03-12 12:27:00.230000+00:00,SFRU24,95.240,1458,23,95.245,262,11,2024-03-12 12:27:00.235348+00:00,26945593,226789403
2024-03-12 12:27:00.230028+00:00,SFRU24,95.240,1449,23,95.245,262,11,2024-03-12 12:27:00.235348+00:00,26945817,230028979
2024-03-12 12:27:00.243189+00:00,SFRU24,95.240,1449,23,95.245,257,11,2024-03-12 12:27:00.250265+00:00,26946685,243189389
2024-03-12 12:27:00.244043+00:00,SFRU24,95.240,1450,23,95.245,257,11,2024-03-12 12:27:00.260236+00:00,26946730,244043331
2024-03-12 12:27:00.244214+00:00,SFRU24,95.240,1450,23,95.245,255,11,2024-03-12 12:27:00.260236+00:00,26946773,244214759
2024-03-12 12:27:00.246190+00:00,SFRU24,95.240,1449,23,95.245,255,11,2024-03-12 12:27:00.260236+00:00,26946794,246190089
2024-03-12 12:27:00.253000+00:00,SFRU24,95.240,1449,23,95.245,255,11,2024-03-12 12:27:00.260236+00:00,26946794,246190089
2024-03-12 12:27:00.279325+00:00,SFRU24,95.240,1445,22,95.245,255,11,2024-03-12 12:27:00.285093+00:00,26947459,279325257
2024-03-12 12:27:00.280131+00:00,SFRU24,95.240,1442,22,95.245,255,11,2024-03-12 12:27:00.290084+00:00,26947514,280131085
2024-03-12 12:27:00.283213+00:00,SFRU24,95.240,1442,22,95.245,258,11,2024-03-12 12:27:00.290084+00:00,26947591,283213573
2024-03-12 12:27:00.294366+00:00,SFRU24,95.240,1446,23,95.245,258,11,2024-03-12 12:27:00.300066+00:00,26947850,294366899
2024-03-12 12:27:00.305158+00:00,SFRU24,95.240,1445,23,95.245,258,11,2024-03-12 12:27:00.309932+00:00,26947898,305158285
2024-03-12 12:27:00.321160+00:00,SFRU24,95.240,1494,23,95.245,258,11,2024-03-12 12:27:00.329953+00:00,26948048,321160499
2024-03-12 12:27:00.340167+00:00,SFRU24,95.240,1458,23,95.245,258,11,2024-03-12 12:27:00.349788+00:00,26948406,340167813
2024-03-12 12:27:00.371000+00:00,SFRU24,95.240,1458,23,95.245,258,11,2024-03-12 12:27:00.349788+00:00,26948406,340167813
2024-03-12 12:27:00.372000+00:00,SFRU24,95.240,1458,23,95.245,258,11,2024-03-12 12:27:00.349788+00:00,26948406,340167813
2024-03-12 12:27:00.372964+00:00,SFRU24,95.240,1523,23,95.245,258,11,2024-03-12 12:27:00.390631+00:00,26948941,372964001
2024-03-12 12:27:00.372978+00:00,SFRU24,95.240,1659,23,95.245,258,11,2024-03-12 12:27:00.390631+00:00,26948945,372978363
2024-03-12 12:27:00.373061+00:00,SFRU24,95.240,1703,23,95.245,258,11,2024-03-12 12:27:00.390631+00:00,26948947,373061591
2024-03-12 12:27:00.381000+00:00,SFRU24,95.240,1703,23,95.245,258,11,2024-03-12 12:27:00.390631+00:00,26948947,373061591
2024-03-12 12:27:00.382000+00:00,SFRU24,95.240,1703,23,95.245,258,11,2024-03-12 12:27:00.390631+00:00,26948947,373061591
2024-03-12 12:27:00.385000+00:00,SFRU24,95.240,1703,23,95.245,258,11,2024-03-12 12:27:00.390631+00:00,26948947,373061591
2024-03-12 12:27:00.385754+00:00,SFRU24,95.240,1702,23,95.245,258,11,2024-03-12 12:27:00.395609+00:00,26949228,385754021
2024-03-12 12:27:00.386000+00:00,SFRU24,95.240,1702,23,95.245,258,11,2024-03-12 12:27:00.395609+00:00,26949228,385754021
2024-03-12 12:27:00.386530+00:00,SFRU24,95.240,1667,23,95.245,258,11,2024-03-12 12:27:00.395609+00:00,26949261,386530455
2024-03-12 12:27:00.387000+00:00,SFRU24,95.240,1667,23,95.245,258,11,2024-03-12 12:27:00.395609+00:00,26949261,386530455
2024-03-12 12:27:00.392638+00:00,SFRU24,95.240,1722,23,95.245,258,11,2024-03-12 12:27:00.400686+00:00,26949319,392638139
2024-03-12 12:27:00.392752+00:00,SFRU24,95.240,1730,23,95.245,258,11,2024-03-12 12:27:00.400686+00:00,26949320,392752895
2024-03-12 12:27:00.397000+00:00,SFRU24,95.240,1730,23,95.245,258,11,2024-03-12 12:27:00.400686+00:00,26949320,392752895
2024-03-12 12:27:00.398000+00:00,SFRU24,95.240,1730,23,95.245,258,11,2024-03-12 12:27:00.400686+00:00,26949320,392752895
2024-03-12 12:27:00.449072+00:00,SFRU24,95.240,1594,23,95.245,258,11,2024-03-12 12:27:00.455393+00:00,26949362,449072791
2024-03-12 12:27:00.449073+00:00,SFRU24,95.240,1550,23,95.245,258,11,2024-03-12 12:27:00.455393+00:00,26949363,449073503
2024-03-12 12:27:00.449303+00:00,SFRU24,95.240,1532,23,95.245,258,11,2024-03-12 12:27:00.455393+00:00,26949366,449303067
2024-03-12 12:27:00.449308+00:00,SFRU24,95.240,1547,23,95.245,258,11,2024-03-12 12:27:00.455393+00:00,26949367,449308213
2024-03-12 12:27:00.462308+00:00,SFRU24,95.240,1535,23,95.245,258,11,2024-03-12 12:27:00.470312+00:00,26949388,462308425
2024-03-12 12:27:00.474740+00:00,SFRU24,95.240,1545,23,95.245,258,11,2024-03-12 12:27:00.480341+00:00,26949411,474740187
2024-03-12 12:27:00.579265+00:00,SFRU24,95.240,1549,23,95.245,258,11,2024-03-12 12:27:00.584746+00:00,26949518,579265697
2024-03-12 12:27:00.630026+00:00,SFRU24,95.240,1550,23,95.245,258,11,2024-03-12 12:27:00.635585+00:00,26949594,630026567
2024-03-12 12:27:00.697075+00:00,SFRU24,95.240,1552,23,95.245,258,11,2024-03-12 12:27:00.705289+00:00,26949628,697075587
2024-03-12 12:27:00.703000+00:00,SFRU24,95.240,1552,23,95.245,258,11,2024-03-12 12:27:00.705289+00:00,26949628,697075587
2024-03-12 12:27:00.721196+00:00,SFRU24,95.240,1553,23,95.245,258,11,2024-03-12 12:27:00.730137+00:00,26949683,721196679
2024-03-12 12:27:00.764045+00:00,SFRU24,95.240,1554,23,95.245,258,11,2024-03-12 12:27:00.769960+00:00,26949700,764045179
2024-03-12 12:27:00.764306+00:00,SFRU24,95.240,1555,23,95.245,258,11,2024-03-12 12:27:00.769960+00:00,26949703,764306479
2024-03-12 12:27:00.897866+00:00,SFRU24,95.240,1543,23,95.245,258,11,2024-03-12 12:27:00.905379+00:00,26949841,897866289
2024-03-12 12:27:00.897867+00:00,SFRU24,95.240,1539,23,95.245,258,11,2024-03-12 12:27:00.905379+00:00,26949843,897867615
2024-03-12 12:27:00.931608+00:00,SFRU24,95.240,1535,23,95.245,258,11,2024-03-12 12:27:00.940222+00:00,26949908,931608901
2024-03-12 12:27:00.931815+00:00,SFRU24,95.240,1530,23,95.245,258,11,2024-03-12 12:27:00.940222+00:00,26949909,931815889
2024-03-12 12:27:00.998000+00:00,SFRU24,95.240,1530,23,95.245,258,11,2024-03-12 12:27:00.940222+00:00,26949909,931815889
2024-03-12 12:27:00.998528+00:00,SFRU24,95.240,1518,22,95.245,258,11,2024-03-12 12:27:01.004917+00:00,26949919,998528865
2024-03-12 12:27:00.998529+00:00,SFRU24,95.240,1510,22,95.245,258,11,2024-03-12 12:27:01.004917+00:00,26949920,998529747
2024-03-12 12:27:00.998530+00:00,SFRU24,95.240,1498,22,95.245,258,11,2024-03-12 12:27:01.004917+00:00,26949921,998530247
2024-03-12 12:27:00.998531+00:00,SFRU24,95.240,1498,22,95.245,246,11,2024-03-12 12:27:01.004917+00:00,26949926,998531841
2024-03-12 12:27:00.998533+00:00,SFRU24,95.240,1498,22,95.245,226,10,2024-03-12 12:27:01.004917+00:00,26949931,998533049
2024-03-12 12:27:00.998785+00:00,SFRU24,95.240,1493,22,95.245,226,10,2024-03-12 12:27:01.004917+00:00,26949945,998785731
2024-03-12 12:27:00.998789+00:00,SFRU24,95.240,1492,22,95.245,226,10,2024-03-12 12:27:01.004917+00:00,26949946,998789915
2024-03-12 12:27:01.015000+00:00,SFRU24,95.240,1492,22,95.245,226,10,2024-03-12 12:27:01.004917+00:00,26949946,998789915
2024-03-12 12:27:01.015317+00:00,SFRU24,95.240,1492,22,95.245,225,10,2024-03-12 12:27:01.024844+00:00,26949957,15317481
2024-03-12 12:27:01.015603+00:00,SFRU24,95.240,1492,22,95.245,226,10,2024-03-12 12:27:01.029773+00:00,26949961,15603585
2024-03-12 12:27:01.015765+00:00,SFRU24,95.240,1486,22,95.245,226,10,2024-03-12 12:27:01.029773+00:00,26949964,15765069
2024-03-12 12:27:01.015838+00:00,SFRU24,95.240,1478,22,95.245,226,10,2024-03-12 12:27:01.029773+00:00,26949965,15838065
2024-03-12 12:27:01.023660+00:00,SFRU24,95.240,1618,22,95.245,226,10,2024-03-12 12:27:01.029773+00:00,26949971,23660333
2024-03-12 12:27:01.036275+00:00,SFRU24,95.240,1478,22,95.245,226,10,2024-03-12 12:27:01.044703+00:00,26950096,36275103
2024-03-12 12:27:01.099350+00:00,SFRU24,95.240,1474,21,95.245,226,10,2024-03-12 12:27:01.105525+00:00,26950133,99350081
2024-03-12 12:27:01.099826+00:00,SFRU24,95.240,1470,21,95.245,226,10,2024-03-12 12:27:01.105525+00:00,26950138,99826029
2024-03-12 12:27:01.099829+00:00,SFRU24,95.240,1469,21,95.245,226,10,2024-03-12 12:27:01.105525+00:00,26950139,99829583
2024-03-12 12:27:01.150256+00:00,SFRU24,95.240,1467,21,95.245,226,10,2024-03-12 12:27:01.155275+00:00,26950224,150256981
2024-03-12 12:27:01.206913+00:00,SFRU24,95.240,1466,21,95.245,226,10,2024-03-12 12:27:01.214607+00:00,26950272,206913555
2024-03-12 12:27:01.233617+00:00,SFRU24,95.240,1466,21,95.245,225,10,2024-03-12 12:27:01.239911+00:00,26950307,233617229
2024-03-12 12:27:01.367807+00:00,SFRU24,95.240,1456,21,95.245,225,10,2024-03-12 12:27:01.375296+00:00,26950459,367807903
2024-03-12 12:27:01.368888+00:00,SFRU24,95.240,1460,22,95.245,225,10,2024-03-12 12:27:01.375296+00:00,26950487,368888357
2024-03-12 12:27:01.369000+00:00,SFRU24,95.240,1460,22,95.245,225,10,2024-03-12 12:27:01.375296+00:00,26950487,368888357
2024-03-12 12:27:01.401000+00:00,SFRU24,95.240,1460,22,95.245,225,10,2024-03-12 12:27:01.375296+00:00,26950487,368888357
2024-03-12 12:27:01.433000+00:00,SFRU24,95.240,1460,22,95.245,225,10,2024-03-12 12:27:01.375296+00:00,26950487,368888357
2024-03-12 12:27:01.433362+00:00,SFRU24,95.240,1600,22,95.245,225,10,2024-03-12 12:27:01.440060+00:00,26950619,433362783
2024-03-12 12:27:01.433425+00:00,SFRU24,95.240,1640,22,95.245,225,10,2024-03-12 12:27:01.440060+00:00,26950622,433425623
2024-03-12 12:27:01.433436+00:00,SFRU24,95.240,1639,22,95.245,225,10,2024-03-12 12:27:01.440060+00:00,26950623,433436797
2024-03-12 12:27:01.433557+00:00,SFRU24,95.240,1639,22,95.245,224,10,2024-03-12 12:27:01.440060+00:00,26950637,433557907
2024-03-12 12:27:01.433579+00:00,SFRU24,95.240,1645,22,95.245,224,10,2024-03-12 12:27:01.440060+00:00,26950644,433579739
2024-03-12 12:27:01.433585+00:00,SFRU24,95.240,1651,22,95.245,224,10,2024-03-12 12:27:01.440060+00:00,26950645,433585361
2024-03-12 12:27:01.433593+00:00,SFRU24,95.240,1655,22,95.245,224,10,2024-03-12 12:27:01.440060+00:00,26950647,433593577
2024-03-12 12:27:01.433598+00:00,SFRU24,95.240,1659,22,95.245,224,10,2024-03-12 12:27:01.440060+00:00,26950648,433598283
2024-03-12 12:27:01.433932+00:00,SFRU24,95.240,1638,22,95.245,224,10,2024-03-12 12:27:01.440060+00:00,26950657,433932059
2024-03-12 12:27:01.433933+00:00,SFRU24,95.240,1625,21,95.245,224,10,2024-03-12 12:27:01.444999+00:00,26950662,433933557
2024-03-12 12:27:01.433975+00:00,SFRU24,95.240,1598,21,95.245,225,10,2024-03-12 12:27:01.444999+00:00,26950712,433975049
2024-03-12 12:27:01.434000+00:00,SFRU24,95.240,1598,21,95.245,225,10,2024-03-12 12:27:01.444999+00:00,26950712,433975049
2024-03-12 12:27:01.434330+00:00,SFRU24,95.240,1534,21,95.245,225,10,2024-03-12 12:27:01.444999+00:00,26950751,434330539
2024-03-12 12:27:01.434619+00:00,SFRU24,95.240,1523,21,95.245,225,10,2024-03-12 12:27:01.444999+00:00,26950758,434619947
2024-03-12 12:27:01.435000+00:00,SFRU24,95.240,1523,21,95.245,225,10,2024-03-12 12:27:01.444999+00:00,26950758,434619947
2024-03-12 12:27:01.435359+00:00,SFRU24,95.240,1519,20,95.245,225,10,2024-03-12 12:27:01.444999+00:00,26950808,435359213
2024-03-12 12:27:01.436000+00:00,SFRU24,95.240,1519,20,95.245,225,10,2024-03-12 12:27:01.444999+00:00,26950808,435359213
2024-03-12 12:27:01.436685+00:00,SFRU24,95.240,1519,20,95.245,226,10,2024-03-12 12:27:01.444999+00:00,26950841,436685703
2024-03-12 12:27:01.437000+00:00,SFRU24,95.240,1519,20,95.245,226,10,2024-03-12 12:27:01.444999+00:00,26950841,436685703
2024-03-12 12:27:01.439000+00:00,SFRU24,95.240,1519,20,95.245,226,10,2024-03-12 12:27:01.444999+00:00,26950841,436685703
2024-03-12 12:27:01.439410+00:00,SFRU24,95.240,1506,20,95.245,226,10,2024-03-12 12:27:01.449920+00:00,26950964,439410547
2024-03-12 12:27:01.439594+00:00,SFRU24,95.240,1482,20,95.245,226,10,2024-03-12 12:27:01.449920+00:00,26950985,439594303
2024-03-12 12:27:01.440000+00:00,SFRU24,95.240,1482,20,95.245,226,10,2024-03-12 12:27:01.449920+00:00,26950985,439594303
2024-03-12 12:27:01.440213+00:00,SFRU24,95.240,1482,20,95.245,227,10,2024-03-12 12:27:01.449920+00:00,26951029,440213821
2024-03-12 12:27:01.440235+00:00,SFRU24,95.240,1482,20,95.245,224,10,2024-03-12 12:27:01.449920+00:00,26951033,440235057
2024-03-12 12:27:01.440621+00:00,SFRU24,95.240,1476,20,95.245,224,10,2024-03-12 12:27:01.449920+00:00,26951058,440621997
2024-03-12 12:27:01.440624+00:00,SFRU24,95.240,1470,20,95.245,224,10,2024-03-12 12:27:01.449920+00:00,26951059,440624875
2024-03-12 12:27:01.440628+00:00,SFRU24,95.240,1466,20,95.245,224,10,2024-03-12 12:27:01.449920+00:00,26951060,440628045
2024-03-12 12:27:01.440630+00:00,SFRU24,95.240,1462,20,95.245,224,10,2024-03-12 12:27:01.449920+00:00,26951061,440630501
2024-03-12 12:27:01.440774+00:00,SFRU24,95.240,1462,20,95.245,228,11,2024-03-12 12:27:01.449920+00:00,26951075,440774171
2024-03-12 12:27:01.441000+00:00,SFRU24,95.240,1462,20,95.245,228,11,2024-03-12 12:27:01.449920+00:00,26951075,440774171
2024-03-12 12:27:01.441521+00:00,SFRU24,95.240,1462,20,95.245,224,10,2024-03-12 12:27:01.449920+00:00,26951091,441521075
2024-03-12 12:27:01.441651+00:00,SFRU24,95.240,1462,20,95.245,228,10,2024-03-12 12:27:01.449920+00:00,26951111,441651285
