dtime,bid_price,ask_price,bid_size,ask_size
2024-03-12 12:27:00.462308+00:00,1.0000,2.5000,79,25.8
2024-03-12 12:27:00.474740+00:00,1.0000,2.5000,79,25.8
2024-03-12 12:27:00.579265+00:00,1.0000,2.5000,79,25.8
2024-03-12 12:27:00.630026+00:00,1.0000,2.5000,79,25.8
2024-03-12 12:27:00.697075+00:00,1.0000,2.5000,79,25.8
2024-03-12 12:27:00.703000+00:00,1.0000,2.5000,79,25.8
2024-03-12 12:27:00.721196+00:00,1.0000,2.5000,79,25.8
2024-03-12 12:27:00.764045+00:00,1.0000,2.5000,79,25.8
2024-03-12 12:27:00.764306+00:00,1.0000,2.5000,79,25.8
2024-03-12 12:27:00.897866+00:00,1.0000,2.5000,79,25.8
2024-03-12 12:27:00.897867+00:00,1.0000,2.5000,79,25.8
2024-03-12 12:27:00.931608+00:00,1.0000,2.5000,79,25.8
2024-03-12 12:27:00.931815+00:00,1.0000,2.5000,79,25.8
2024-03-12 12:27:00.998000+00:00,1.0000,2.5000,79,25.8
2024-03-12 12:27:00.998528+00:00,1.0000,2.5000,79,25.8
2024-03-12 12:27:00.998529+00:00,1.0000,2.5000,79,25.8
2024-03-12 12:27:00.998530+00:00,1.0000,2.5000,79,25.8
2024-03-12 12:27:00.998531+00:00,1.0000,2.5000,79,24.6
2024-03-12 12:27:00.998533+00:00,1.0000,2.5000,79,22.6
2024-03-12 12:27:00.998785+00:00,1.0000,2.5000,79,22.6
2024-03-12 12:27:00.998789+00:00,1.0000,2.5000,79,22.6
2024-03-12 12:27:01.015000+00:00,1.0000,2.5000,78.83333333333333333333333333,22.6
2024-03-12 12:27:01.015317+00:00,1.0000,2.5000,78.83333333333333333333333333,22.5
2024-03-12 12:27:01.015603+00:00,1.0000,2.5000,78.83333333333333333333333333,22.6
2024-03-12 12:27:01.015765+00:00,1.0000,2.5000,78.83333333333333333333333333,22.6
2024-03-12 12:27:01.015838+00:00,1.0000,2.5000,78.83333333333333333333333333,22.6
2024-03-12 12:27:01.023660+00:00,1.0000,2.5000,78.83333333333333333333333333,22.6
2024-03-12 12:27:01.036275+00:00,1.0000,2.5000,78.83333333333333333333333333,22.6
2024-03-12 12:27:01.099350+00:00,1.0000,2.5000,78.83333333333333333333333333,22.6
2024-03-12 12:27:01.099826+00:00,1.0000,2.5000,78.83333333333333333333333333,22.6
2024-03-12 12:27:01.099829+00:00,1.0000,2.5000,78.83333333333333333333333333,22.6
2024-03-12 12:27:01.150256+00:00,1.0000,2.5000,78.83333333333333333333333333,22.6
2024-03-12 12:27:01.206913+00:00,1.0000,2.5000,78.83333333333333333333333333,22.6
2024-03-12 12:27:01.233617+00:00,1.0000,2.5000,78.83333333333333333333333333,22.5
2024-03-12 12:27:01.367807+00:00,1.0000,2.5000,78.83333333333333333333333333,22.5
2024-03-12 12:27:01.368888+00:00,1.0000,2.5000,78.83333333333333333333333333,22.5
2024-03-12 12:27:01.369000+00:00,1.0000,2.5000,78.83333333333333333333333333,22.5
2024-03-12 12:27:01.401000+00:00,1.0000,2.5000,78.83333333333333333333333333,22.5
2024-03-12 12:27:01.433000+00:00,1.0000,2.5000,78.83333333333333333333333333,22.5
2024-03-12 12:27:01.433362+00:00,1.0000,2.5000,78.83333333333333333333333333,22.5
2024-03-12 12:27:01.433425+00:00,1.0000,2.5000,78.83333333333333333333333333,22.5
2024-03-12 12:27:01.433436+00:00,1.0000,2.5000,78.83333333333333333333333333,22.5
2024-03-12 12:27:01.433557+00:00,1.0000,2.5000,78.83333333333333333333333333,22.4
2024-03-12 12:27:01.433579+00:00,1.0000,2.5000,78.83333333333333333333333333,22.4
2024-03-12 12:27:01.433585+00:00,1.0000,2.5000,78.83333333333333333333333333,22.4
2024-03-12 12:27:01.433593+00:00,1.0000,2.5000,78.83333333333333333333333333,22.4
2024-03-12 12:27:01.433598+00:00,1.0000,2.5000,78.83333333333333333333333333,22.4
2024-03-12 12:27:01.433932+00:00,1.0000,2.5000,78.83333333333333333333333333,22.4
2024-03-12 12:27:01.433933+00:00,1.0000,2.5000,78.83333333333333333333333333,22.4
2024-03-12 12:27:01.433975+00:00,1.0000,2.5000,78.83333333333333333333333333,22.5
2024-03-12 12:27:01.434000+00:00,1.0000,2.5000,83.66666666666666666666666667,22.5
2024-03-12 12:27:01.434330+00:00,1.0000,2.5000,83.66666666666666666666666667,22.5
2024-03-12 12:27:01.434619+00:00,1.0000,2.5000,83.66666666666666666666666667,22.5
2024-03-12 12:27:01.435000+00:00,1.0000,2.5000,90.66666666666666666666666667,22.5
2024-03-12 12:27:01.435359+00:00,1.0000,2.5000,90.66666666666666666666666667,22.5
2024-03-12 12:27:01.436000+00:00,1.0000,2.5000,90.66666666666666666666666667,22.5
2024-03-12 12:27:01.436685+00:00,1.0000,2.5000,90.66666666666666666666666667,22.6
2024-03-12 12:27:01.437000+00:00,1.0000,2.5000,90.66666666666666666666666667,22.6
2024-03-12 12:27:01.439000+00:00,1.0000,2.5000,89.16666666666666666666666667,22.6
2024-03-12 12:27:01.439410+00:00,1.0000,2.5000,89.16666666666666666666666667,22.6
2024-03-12 12:27:01.439594+00:00,1.0000,2.5000,89.16666666666666666666666667,22.6
2024-03-12 12:27:01.440000+00:00,1.0000,2.5000,89.16666666666666666666666667,22.6
2024-03-12 12:27:01.440213+00:00,1.0000,2.5000,89.16666666666666666666666667,22.7
2024-03-12 12:27:01.440235+00:00,1.0000,2.5000,89.16666666666666666666666667,22.4
2024-03-12 12:27:01.440621+00:00,1.0000,2.5000,89.16666666666666666666666667,22.4
2024-03-12 12:27:01.440624+00:00,1.0000,2.5000,89.16666666666666666666666667,22.4
2024-03-12 12:27:01.440628+00:00,1.0000,2.5000,89.16666666666666666666666667,22.4
2024-03-12 12:27:01.440630+00:00,1.0000,2.5000,89.16666666666666666666666667,22.4
2024-03-12 12:27:01.440774+00:00,1.0000,2.5000,89.16666666666666666666666667,22.8
2024-03-12 12:27:01.441000+00:00,1.0000,2.5000,100.8333333333333333333333333,18.5
2024-03-12 12:27:01.441521+00:00,1.0000,2.5000,100.8333333333333333333333333,18.5
2024-03-12 12:27:01.441651+00:00,1.0000,2.5000,100.8333333333333333333333333,18.5
2024-03-12 12:27:01.441713+00:00,1.0000,2.5000,100.8333333333333333333333333,18.5
2024-03-12 12:27:01.442000+00:00,1.0000,2.5000,100.8333333333333333333333333,18.16666666666666666666666667
2024-03-12 12:27:01.442942+00:00,1.0000,2.5000,100.8333333333333333333333333,18.16666666666666666666666667
2024-03-12 12:27:01.443000+00:00,1.0000,2.5000,103.8333333333333333333333333,18.16666666666666666666666667
2024-03-12 12:27:01.444000+00:00,1.0000,2.5000,105.3333333333333333333333333,18.16666666666666666666666667
2024-03-12 12:27:01.444254+00:00,1.0000,2.5000,105.3333333333333333333333333,18.16666666666666666666666667
2024-03-12 12:27:01.445263+00:00,1.0000,2.5000,105.3333333333333333333333333,18.16666666666666666666666667
2024-03-12 12:27:01.446000+00:00,1.0000,2.5000,108.8333333333333333333333333,19
2024-03-12 12:27:01.449764+00:00,1.0000,2.5000,108.8333333333333333333333333,19
2024-03-12 12:27:01.452096+00:00,1.0000,2.5000,108.8333333333333333333333333,19
2024-03-12 12:27:01.479514+00:00,1.0000,2.5000,108.8333333333333333333333333,19
2024-03-12 12:27:01.519812+00:00,1.0000,2.5000,108.8333333333333333333333333,19
2024-03-12 12:27:01.608374+00:00,1.0000,2.5000,108.8333333333333333333333333,19
2024-03-12 12:27:01.769840+00:00,1.0000,2.5000,108.8333333333333333333333333,19
2024-03-12 12:27:01.828527+00:00,1.0000,2.5000,108.8333333333333333333333333,19
2024-03-12 12:27:01.904499+00:00,1.0000,2.5000,108.8333333333333333333333333,19
2024-03-12 12:27:01.904501+00:00,1.0000,2.5000,108.8333333333333333333333333,19
2024-03-12 12:27:01.904799+00:00,1.0000,2.5000,108.8333333333333333333333333,19
2024-03-12 12:27:01.952681+00:00,1.0000,2.5000,108.8333333333333333333333333,19
2024-03-12 12:27:01.952935+00:00,1.0000,2.5000,108.8333333333333333333333333,19
2024-03-12 12:27:02.024361+00:00,1.0000,2.5000,108.8333333333333333333333333,19
2024-03-12 12:27:02.024365+00:00,1.0000,2.5000,108.8333333333333333333333333,19
2024-03-12 12:27:02.139692+00:00,1.0000,2.5000,108.8333333333333333333333333,19
2024-03-12 12:27:02.140175+00:00,1.0000,2.5000,108.8333333333333333333333333,19
2024-03-12 12:27:02.159000+00:00,1.5000,2.5000,8.333333333333333333333333333,18.16666666666666666666666667
2024-03-12 12:27:02.173355+00:00,1.5000,2.5000,8.333333333333333333333333333,18.16666666666666666666666667
2024-03-12 12:27:02.203000+00:00,1.5000,2.5000,8.333333333333333333333333333,9.666666666666666666666666667
2024-03-12 12:27:02.204743+00:00,1.5000,2.5000,8.333333333333333333333333333,9.666666666666666666666666667
2024-03-12 12:27:02.206698+00:00,1.5000,2.5000,8.333333333333333333333333333,9.666666666666666666666666667
2024-03-12 12:27:02.274019+00:00,1.5000,2.5000,8.333333333333333333333333333,9.666666666666666666666666667
2024-03-12 12:27:02.274258+00:00,1.5000,2.5000,8.333333333333333333333333333,9.666666666666666666666666667
2024-03-12 12:27:02.278000+00:00,1.5000,2.5000,8.333333333333333333333333333,9.333333333333333333333333333
2024-03-12 12:27:02.278402+00:00,1.5000,2.5000,8.333333333333333333333333333,9.333333333333333333333333333
2024-03-12 12:27:02.278692+00:00,1.5000,2.5000,8.333333333333333333333333333,9.333333333333333333333333333
2024-03-12 12:27:02.278701+00:00,1.5000,2.5000,8.333333333333333333333333333,9.333333333333333333333333333
2024-03-12 12:27:02.278742+00:00,1.5000,2.5000,8.333333333333333333333333333,9.333333333333333333333333333
2024-03-12 12:27:02.278761+00:00,1.5000,2.5000,8.333333333333333333333333333,9.333333333333333333333333333
2024-03-12 12:27:02.278764+00:00,1.5000,2.5000,8.333333333333333333333333333,9.333333333333333333333333333
2024-03-12 12:27:02.278778+00:00,1.5000,2.5000,8.333333333333333333333333333,9.333333333333333333333333333
2024-03-12 12:27:02.278782+00:00,1.5000,2.5000,8.333333333333333333333333333,9.333333333333333333333333333
2024-03-12 12:27:02.278798+00:00,1.5000,2.5000,8.333333333333333333333333333,9.333333333333333333333333333
2024-03-12 12:27:02.278836+00:00,1.5000,2.5000,8.333333333333333333333333333,9.333333333333333333333333333
2024-03-12 12:27:02.279119+00:00,1.5000,2.5000,8.333333333333333333333333333,9.333333333333333333333333333
2024-03-12 12:27:02.279627+00:00,1.5000,2.5000,8.333333333333333333333333333,9.333333333333333333333333333
2024-03-12 12:27:02.286000+00:00,1.5000,2.5000,8.833333333333333333333333333,9
2024-03-12 12:27:02.286956+00:00,1.5000,2.5000,8.833333333333333333333333333,9
2024-03-12 12:27:02.287000+00:00,1.5000,2.5000,8.833333333333333333333333333,0.6666666666666666666666666667
2024-03-12 12:27:02.287189+00:00,1.5000,2.5000,8.833333333333333333333333333,0.6666666666666666666666666667
2024-03-12 12:27:02.287194+00:00,1.5000,2.5000,8.833333333333333333333333333,0.6666666666666666666666666667
2024-03-12 12:27:02.287282+00:00,1.5000,2.5000,8.833333333333333333333333333,0.6666666666666666666666666667
2024-03-12 12:27:02.287718+00:00,1.5000,2.5000,8.833333333333333333333333333,0.6666666666666666666666666667
2024-03-12 12:27:02.287723+00:00,1.5000,2.5000,8.833333333333333333333333333,0.6666666666666666666666666667
2024-03-12 12:27:02.287725+00:00,1.5000,2.5000,8.833333333333333333333333333,0.6666666666666666666666666667
2024-03-12 12:27:02.287729+00:00,1.5000,2.5000,8.833333333333333333333333333,0.6666666666666666666666666667
2024-03-12 12:27:02.287775+00:00,1.5000,2.5000,8.833333333333333333333333333,0.6666666666666666666666666667
2024-03-12 12:27:02.287809+00:00,1.5000,2.5000,8.833333333333333333333333333,0.6666666666666666666666666667
2024-03-12 12:27:02.287970+00:00,1.5000,2.5000,8.833333333333333333333333333,0.6666666666666666666666666667
2024-03-12 12:27:02.288069+00:00,1.5000,2.5000,8.833333333333333333333333333,0.6666666666666666666666666667
2024-03-12 12:27:02.288155+00:00,1.5000,2.5000,8.833333333333333333333333333,0.6666666666666666666666666667
2024-03-12 12:27:02.288556+00:00,1.5000,2.5000,8.833333333333333333333333333,0.6666666666666666666666666667
2024-03-12 12:27:02.289000+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.290419+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.290538+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.290540+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.291263+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.292545+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.292732+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.293202+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.295566+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.295854+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.296213+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.296282+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.296725+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.296837+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.297289+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.297292+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
2024-03-12 12:27:02.297300+00:00,1.5000,2.5000,17.16666666666666666666666667,0.6666666666666666666666666667
